home_id,home_link,kamers,prijs,wonen
Bouwnummer (Bouwnr. 127),https://funda.nl/koop/amsterdam/appartement-40883942-bouwnummer-bouwnr-127/,2 kamers,€ 465.155 v.o.n.,77 m²
Bouwnummer (Bouwnr. 13),https://funda.nl/koop/amsterdam/appartement-40622694-bouwnummer-bouwnr-13/,4 kamers,€ 656.028 v.o.n.,118 m²
Bouwnummer (Bouwnr. 130),https://funda.nl/koop/amsterdam/appartement-40077071-bouwnummer-bouwnr-130/,3 kamers,€ 532.641 v.o.n.,87 m²
Bouwnummer (Bouwnr. 131),https://funda.nl/koop/amsterdam/appartement-40622602-bouwnummer-bouwnr-131/,4 kamers,€ 683.650 v.o.n.,118 m²
Bouwnummer (Bouwnr. 132),https://funda.nl/koop/amsterdam/appartement-40076790-bouwnummer-bouwnr-132/,4 kamers,€ 946.644 v.o.n.,171 m²
Bouwnummer (Bouwnr. 133),https://funda.nl/koop/amsterdam/appartement-40077070-bouwnummer-bouwnr-133/,2 kamers,€ 542.801 v.o.n.,91 m²
Bouwnummer (Bouwnr. 134),https://funda.nl/koop/amsterdam/appartement-40622613-bouwnummer-bouwnr-134/,2 kamers,€ 500.397 v.o.n.,86 m²
Bouwnummer (Bouwnr. 135),https://funda.nl/koop/amsterdam/appartement-40622614-bouwnummer-bouwnr-135/,4 kamers,€ 771.327 v.o.n.,134 m²
Bouwnummer (Bouwnr. 136),https://funda.nl/koop/amsterdam/appartement-40077078-bouwnummer-bouwnr-136/,3 kamers,€ 759.232 v.o.n.,132 m²
Bouwnummer (Bouwnr. 139),https://funda.nl/koop/amsterdam/appartement-40883953-bouwnummer-bouwnr-139/,3 kamers,€ 538.938 v.o.n.,92 m²
Bouwnummer (Bouwnr. 14),https://funda.nl/koop/amsterdam/appartement-40076703-bouwnummer-bouwnr-14/,4 kamers,€ 664.714 v.o.n.,118 m²
Bouwnummer (Bouwnr. 140),https://funda.nl/koop/amsterdam/appartement-40622615-bouwnummer-bouwnr-140/,3 kamers,€ 613.386 v.o.n.,106 m²
Bouwnummer (Bouwnr. 17),https://funda.nl/koop/amsterdam/appartement-40622696-bouwnummer-bouwnr-17/,4 kamers,€ 808.433 v.o.n.,152 m²
Bouwnummer (Bouwnr. 18),https://funda.nl/koop/amsterdam/appartement-40889127-bouwnummer-bouwnr-18/,3 kamers,€ 738.119 v.o.n.,132 m²
Bouwnummer (Bouwnr. 2),https://funda.nl/koop/amsterdam/appartement-40075126-bouwnummer-bouwnr-2/,4 kamers,€ 655.513 v.o.n.,103 m²
Bouwnummer (Bouwnr. 20),https://funda.nl/koop/amsterdam/appartement-40889124-bouwnummer-bouwnr-20/,3 kamers,€ 720.756 v.o.n.,130 m²
Bouwnummer (Bouwnr. 3),https://funda.nl/koop/amsterdam/appartement-40889132-bouwnummer-bouwnr-3/,4 kamers,€ 635.039 v.o.n.,109 m²
Bouwnummer (Bouwnr. 33),https://funda.nl/koop/amsterdam/appartement-40889249-bouwnummer-bouwnr-33/,4 kamers,€ 828.579 v.o.n.,133 m²
Bouwnummer (Bouwnr. 35),https://funda.nl/koop/amsterdam/appartement-40622697-bouwnummer-bouwnr-35/,4 kamers,€ 773.722 v.o.n.,119 m²
Bouwnummer (Bouwnr. 36),https://funda.nl/koop/amsterdam/appartement-40077954-bouwnummer-bouwnr-36/,3 kamers,€ 830.465 v.o.n.,130 m²
Bouwnummer (Bouwnr. 37),https://funda.nl/koop/amsterdam/appartement-40076706-bouwnummer-bouwnr-37/,4 kamers,€ 807.585 v.o.n.,133 m²
Bouwnummer (Bouwnr. 39),https://funda.nl/koop/amsterdam/appartement-40076794-bouwnummer-bouwnr-39/,4 kamers,€ 738.078 v.o.n.,118 m²
Bouwnummer (Bouwnr. 4),https://funda.nl/koop/amsterdam/appartement-40622689-bouwnummer-bouwnr-4/,4 kamers,€ 649.945 v.o.n.,110 m²
Bouwnummer (Bouwnr. 40),https://funda.nl/koop/amsterdam/appartement-40622698-bouwnummer-bouwnr-40/,4 kamers,€ 798.894 v.o.n.,131 m²
Bouwnummer (Bouwnr. 41),https://funda.nl/koop/amsterdam/appartement-40889241-bouwnummer-bouwnr-41/,4 kamers,€ 795.385 v.o.n.,133 m²
Bouwnummer (Bouwnr. 42),https://funda.nl/koop/amsterdam/appartement-40889220-bouwnummer-bouwnr-42/,4 kamers,€ 742.686 v.o.n.,122 m²
Bouwnummer (Bouwnr. 43),https://funda.nl/koop/amsterdam/appartement-40076795-bouwnummer-bouwnr-43/,4 kamers,€ 733.078 v.o.n.,118 m²
Bouwnummer (Bouwnr. 5),https://funda.nl/koop/amsterdam/appartement-40622680-bouwnummer-bouwnr-5/,4 kamers,€ 628.613 v.o.n.,110 m²
Bouwnummer (Bouwnr. 53),https://funda.nl/koop/amsterdam/appartement-40889247-bouwnummer-bouwnr-53/,4 kamers,€ 787.859 v.o.n.,133 m²
Bouwnummer (Bouwnr. 54),https://funda.nl/koop/amsterdam/appartement-40889248-bouwnummer-bouwnr-54/,4 kamers,€ 659.585 v.o.n.,122 m²
Bouwnummer (Bouwnr. 7),https://funda.nl/koop/amsterdam/appartement-40889139-bouwnummer-bouwnr-7/,4 kamers,€ 631.629 v.o.n.,109 m²
Bouwnummer (Bouwnr. 74),https://funda.nl/koop/amsterdam/appartement-40622690-bouwnummer-bouwnr-74/,2 kamers,€ 345.378 v.o.n.,50 m²
Bouwnummer (Bouwnr. 77),https://funda.nl/koop/amsterdam/appartement-40076796-bouwnummer-bouwnr-77/,4 kamers,€ 813.823 v.o.n.,132 m²
Bouwnummer (Bouwnr. 79),https://funda.nl/koop/amsterdam/appartement-40883939-bouwnummer-bouwnr-79/,3 kamers,€ 738.189 v.o.n.,118 m²
Bouwnummer (Bouwnr. 80),https://funda.nl/koop/amsterdam/appartement-40622692-bouwnummer-bouwnr-80/,3 kamers,€ 801.451 v.o.n.,130 m²
Bouwnummer (Bouwnr. 81),https://funda.nl/koop/amsterdam/appartement-40883930-bouwnummer-bouwnr-81/,2 kamers,€ 472.621 v.o.n.,71 m²
Bouwnummer (Bouwnr. 83),https://funda.nl/koop/amsterdam/appartement-40883932-bouwnummer-bouwnr-83/,2 kamers,€ 483.646 v.o.n.,72 m²
Bouwnummer (Bouwnr. 86),https://funda.nl/koop/amsterdam/appartement-40883943-bouwnummer-bouwnr-86/,3 kamers,€ 468.304 v.o.n.,71 m²
Bouwnummer (Bouwnr. 87),https://funda.nl/koop/amsterdam/appartement-40077088-bouwnummer-bouwnr-87/,3 kamers,€ 460.679 v.o.n.,70 m²
Bouwnummer (Bouwnr. 9),https://funda.nl/koop/amsterdam/appartement-40622682-bouwnummer-bouwnr-9/,4 kamers,€ 630.422 v.o.n.,110 m²
Bouwnummer (Bouwnr. 97),https://funda.nl/koop/amsterdam/appartement-40883945-bouwnummer-bouwnr-97/,3 kamers,€ 460.350 v.o.n.,72 m²
Bouwnummer (Bouwnr. 98),https://funda.nl/koop/amsterdam/appartement-40883946-bouwnummer-bouwnr-98/,2 kamers,€ 341.378 v.o.n.,50 m²
Bouwnummer (Bouwnr. 123),https://funda.nl/koop/amsterdam/appartement-40622600-bouwnummer-bouwnr-123/,2 kamers,€ 454.960 v.o.n.,77 m²
Bouwnummer (Bouwnr. 15),https://funda.nl/koop/amsterdam/appartement-40622695-bouwnummer-bouwnr-15/,4 kamers,€ 795.377 v.o.n.,149 m²
Bouwnummer (Bouwnr. 38),https://funda.nl/koop/amsterdam/appartement-40889240-bouwnummer-bouwnr-38/,4 kamers,€ 747.686 v.o.n.,122 m²
Bouwnummer (Bouwnr. 45),https://funda.nl/koop/amsterdam/appartement-40889232-bouwnummer-bouwnr-45/,3 kamers,€ 464.488 v.o.n.,70 m²
Bouwnummer (Bouwnr. 52),https://funda.nl/koop/amsterdam/appartement-40076707-bouwnummer-bouwnr-52/,3 kamers,€ 465.081 v.o.n.,70 m²
Bouwnummer (Bouwnr. 70),https://funda.nl/koop/amsterdam/appartement-40077955-bouwnummer-bouwnr-70/,2 kamers,€ 345.876 v.o.n.,50 m²
Bouwnummer (Bouwnr. 72),https://funda.nl/koop/amsterdam/appartement-40077956-bouwnummer-bouwnr-72/,3 kamers,€ 470.662 v.o.n.,72 m²
Bouwnummer (Bouwnr. 73),https://funda.nl/koop/amsterdam/appartement-40077957-bouwnummer-bouwnr-73/,3 kamers,€ 465.056 v.o.n.,72 m²
Bouwnummer (Bouwnr. 75),https://funda.nl/koop/amsterdam/appartement-40077080-bouwnummer-bouwnr-75/,2 kamers,€ 345.378 v.o.n.,50 m²
Bouwnummer (Bouwnr. 76),https://funda.nl/koop/amsterdam/appartement-40622691-bouwnummer-bouwnr-76/,2 kamers,€ 436.469 v.o.n.,70 m²
Bouwnummer (Bouwnr. 8),https://funda.nl/koop/amsterdam/appartement-40622681-bouwnummer-bouwnr-8/,4 kamers,€ 631.627 v.o.n.,110 m²
